,Name,Affiliation,Incumbent,Winner,Vote %,Cash Raised,Cash Spent,State,District Number
0,Jerry Carl,R,0,1,64.9,1971321.0,1859349.0,AL,01
1,James Averhart,D,0,0,35.0,80095.0,78973.0,AL,01
2,Barry Moore,R,0,1,65.3,650807.0,669368.0,AL,02
3,Phyllis Harvey-Hall,D,0,0,34.6,56050.0,55988.0,AL,02
4,Mike D Rogers,R,1,1,67.5,1193111.0,1218564.0,AL,03
5,Adia Winfrey,D,0,0,32.4,50273.0,40971.0,AL,03
6,Robert B Aderholt,R,1,1,82.5,1255076.0,1323812.0,AL,04
7,Mo Brooks,R,1,1,95.8,655365.0,210045.0,AL,05
8,Gary Palmer,R,1,1,97.1,907219.0,909082.0,AL,06
9,Terri Sewell,D,1,1,97.2,2168165.0,1495957.0,AL,07
10,Don Young,R,1,1,54.4,1922901.0,1790448.0,AK,01
11,Alyse Galvin,I,0,0,45.3,5178452.0,5088103.0,AK,01
12,Tom OHalleran,D,1,1,51.6,3381353.0,3324138.0,AZ,01
13,Tiffany Shedd,R,0,0,48.4,1675618.0,1615704.0,AZ,01
14,Ann Kirkpatrick,D,1,1,55.1,1849862.0,1384765.0,AZ,02
15,Brandon Martin,R,0,0,44.9,374821.0,381067.0,AZ,02
16,Raul M Grijalva,D,1,1,64.6,843560.0,655507.0,AZ,03
17,Daniel Wood,R,0,0,35.4,41422.0,41962.0,AZ,03
18,Paul Gosar,R,1,1,69.8,622151.0,729892.0,AZ,04
19,Delina DiSanto,D,0,0,30.2,77168.0,79758.0,AZ,04
20,Andy Biggs,R,1,1,58.9,1602181.0,1236380.0,AZ,05
21,Joan Greene,D,0,0,41.1,356069.0,209789.0,AZ,05
22,David Schweikert,R,1,1,52.2,2265329.0,2249979.0,AZ,06
23,Hiral Tipirneni,D,0,0,47.8,6301073.0,6366702.0,AZ,06
24,Tom Lewellen,I,0,0,,11685.0,11000.0,AZ,06
25,Ruben Gallego,D,1,1,76.7,1811754.0,1653961.0,AZ,07
26,Josh Barnett,R,0,0,23.3,28093.0,17883.0,AZ,07
27,Debbie Lesko,R,1,1,59.6,1605245.0,987453.0,AZ,08
28,Michael Muscato,D,0,0,40.4,357906.0,347734.0,AZ,08
29,Greg Stanton,D,1,1,61.6,2001619.0,1001350.0,AZ,09
30,Dave Giles,R,0,0,38.4,130480.0,129935.0,AZ,09
31,Rick Crawford,R,1,1,100.0,966801.0,1095518.0,AR,01
32,French Hill,R,1,1,55.4,3384490.0,3020491.0,AR,02
33,Joyce Elliott,D,0,0,44.6,3482463.0,3478733.0,AR,02
34,Steve Womack,R,1,1,64.3,1127158.0,923120.0,AR,03
35,Celeste Williams,D,0,0,31.8,355294.0,355294.0,AR,03
36,Bruce Westerman,R,1,1,69.7,1407770.0,1102573.0,AR,04
37,William Hanson,D,0,0,27.5,109767.0,111683.0,AR,04
38,Doug LaMalfa,R,1,1,56.9,1219556.0,1155945.0,CA,01
39,Audrey Denney,D,0,0,43.1,2461769.0,2457661.0,CA,01
40,Jared Huffman,D,1,1,75.7,899419.0,797753.0,CA,02
41,Dale Mensing,R,0,0,24.3,5921.0,2197.0,CA,02
42,John Garamendi,D,1,1,54.7,1054066.0,667320.0,CA,03
43,Tamika Hamilton,R,0,0,45.3,397099.0,384584.0,CA,03
44,Tom McClintock,R,1,1,55.9,2053363.0,2107248.0,CA,04
45,Brynne Kennedy,D,0,0,44.1,3006020.0,3002532.0,CA,04
46,Mike Thompson,D,1,1,76.8,2208136.0,2022751.0,CA,05
47,Doris Matsui,D,1,1,73.4,1019605.0,1073529.0,CA,06
48,Chris Bish,R,0,0,26.6,44772.0,44554.0,CA,06
49,Ami Bera,D,1,1,56.6,1757748.0,1053444.0,CA,07
50,Buzz Patterson,R,0,0,43.4,43876.0,29614.0,CA,07
51,Jay Obernolte,R,0,1,56.1,1861647.0,1792064.0,CA,08
52,Chris Bubser,D,0,0,43.9,1858001.0,1856613.0,CA,08
